"y4_hhid","qx_type","interview_status","PID","id_code","hh_c02","hh_c03","hh_c04","hh_c05_1","hh_c05_2a","hh_c05_2b","hh_c05_2_oth","hh_c05_3","hh_c05_4a","hh_c05_4b","hh_c05_4_oth","hh_c05_5","hh_c06","hh_c07a","hh_c07b","hh_c07_oth","hh_c08","hh_c09","hh_c10","hh_c11","hh_c12","hh_c13","hh_c14","hh_c14_oth","hh_c15","hh_c16","hh_c17","hh_c18","hh_c18_oth","hh_c19a","hh_c19b","hh_c20","hh_c21","hh_c21_oth","hh_c22a","hh_c22b","hh_c22c","hh_c22d","hh_c22e","hh_c22f","hh_c22g","hh_c22h","hh_c22i","hh_c22j","hh_c22k","hh_c22l","hh_c23filtera","hh_c23a_1","hh_c23a_2","hh_c23a_3","hh_c23filter","hh_c23b_1","hh_c23b_2","hh_c24","hh_c25"
"0015-001",1,1,"3001500103",3,,2,2,1,1,,,1,1,,,1,1,,,,10,2,6,1,9,1,,,,22,1,1,,20,1,2,,,30000,0,7200,2000,0,0,2000,0,0,30000,0,71200,1,1,,,,,,1,1
"0015-001",1,1,"3001500104",4,,2,2,1,1,,,1,1,,,1,1,,,,9,2,5,1,8,1,,,,26,2,,,,,2,,,20000,0,7200,2000,200000,0,2000,0,0,30000,0,261200,1,1,,,,,,1,1
"0015-001",1,1,"3001500107",7,,2,2,1,1,,,1,1,,,1,1,,,,10,2,6,1,9,1,,,,22,1,1,,20,1,2,,,30000,0,7200,2000,0,0,2000,0,0,30000,0,71200,1,1,,,,,,2,
"0017-001",1,1,"002901",1,,2,2,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,2,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0017-001",1,1,"002902",2,,1,,1,1,,,1,1,,,1,1,,,,6,1,6,2,,2,5,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0017-001",1,1,"002903",3,,2,2,1,1,,,1,1,,,1,1,,,,7,1,6,1,7,1,,,,11,1,1,,10,1,2,,,0,0,1600,1300,0,1000,0,0,1000,0,0,4900,1,1,,,,,,2,
"0017-001",1,1,"002904",4,,2,2,1,1,,,1,1,,,1,1,,,,6,1,6,1,6,1,,,,11,1,1,,10,1,2,,,0,0,700,1300,0,1000,0,0,1000,0,0,4000,1,1,,,,,,2,
"0017-001",1,1,"002905",5,,2,2,1,1,,,2,,,,1,1,,,,4,1,6,1,4,1,,,,11,1,1,,10,1,2,,,0,0,500,1300,0,500,0,0,500,0,0,2800,1,2,,,,,,2,
"0017-001",1,1,"3001600106",6,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0018-001",1,1,"003100107",7,,2,2,2,,,,2,,,,2,1,,,,1,1,5,2,,1,,,,11,1,1,,10,1,2,,,0,0,100,0,0,0,0,0,1000,0,0,1100,1,1,2,,,,,2,
"0018-001",1,1,"003101",1,,2,2,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,2,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0018-001",1,1,"003102",2,,1,,2,,,,2,,,,2,1,,,,2,1,6,2,,2,2,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0018-001",1,1,"003104",4,,2,2,1,1,,,1,1,,,1,1,,,,6,1,6,1,6,1,,,,11,1,1,,10,1,2,,,0,0,400,0,0,3000,0,0,1000,0,0,4400,1,1,2,,,,,2,
"0018-001",1,1,"003105",5,,2,2,1,11,13,,1,1,,,1,1,,,,4,1,6,1,4,1,,,,11,1,1,,10,1,1,4,,0,0,400,0,0,1000,0,0,500,0,0,1900,1,1,2,,,,,2,
"0018-001",1,1,"003106",6,,2,2,2,,,,2,,,,1,1,,,,2,1,6,1,2,1,,,,11,1,1,,10,1,2,,,0,0,100,0,0,500,0,0,0,0,0,600,1,1,2,,,,,2,
"0018-001",1,1,"4001800108",8,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0019-001",2,2,"006600104",2,,1,,1,4,14,,1,1,,,1,1,,,,11,3,6,2,,2,2,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0019-001",2,2,"006601",1,,1,,2,,,,2,,,,1,1,,,,2,1,5,2,,2,2,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0019-001",2,2,"3001800105",3,,2,1,1,1,,,1,1,,,1,1,,,,4,1,6,1,4,1,,,,13,1,1,,30,1,2,,,0,0,2000,0,0,1500,0,0,1500,0,0,5000,1,1,2,,,,,2,
"0019-001",2,2,"4001900104",4,,2,1,1,1,,,1,1,,,1,1,,,,3,1,6,1,2,1,,,,13,1,1,,30,1,2,,,0,0,2000,0,0,1500,0,0,1500,0,0,5000,1,1,2,,,,,2,
"0020-002",2,2,"006602",1,,1,,2,,,,2,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0020-002",2,2,"3001800202",2,,2,1,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0020-002",2,2,"3001800203",3,,2,1,2,,,,2,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0020-002",2,2,"3001800204",4,,2,1,2,,,,2,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0021-003",2,2,"006603",2,,1,,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,4,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0021-003",2,2,"3001800301",1,,1,,1,1,,,1,1,,,1,1,,,,11,3,6,2,,2,4,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0021-003",2,2,"3001800303",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0022-001",2,2,"006801",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,5,2,,2,4,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-001",2,2,"006802",2,,1,,1,2,14,,1,1,,,1,1,,,,6,1,5,2,,2,2,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-001",2,2,"006807",7,,1,,1,1,,,1,1,,,1,1,,,,6,1,5,1,5,1,,,,13,1,1,,30,1,1,2,,0,0,2000,0,0,1000,0,0,1000,0,0,4000,1,1,2,,,,,2,
"0022-001",2,2,"006808",8,,1,,1,1,,,1,1,,,1,1,,,,6,1,6,1,5,1,,,,13,1,1,,30,1,2,,,0,0,2000,0,0,1000,0,0,1000,0,0,4000,1,1,2,,,,,2,
"0022-001",2,2,"3001900109",9,,1,,2,,,,2,,,,1,1,,,,2,1,6,1,1,1,,,,13,1,1,,30,1,2,,,0,0,500,1500,0,500,0,0,0,0,0,2500,1,1,2,,,,,2,
"0022-001",2,2,"3001900110",10,,1,,2,,,,2,,,,1,1,,,,2,1,6,1,1,1,,,,13,1,1,,30,1,2,,,0,0,500,1500,0,0,0,0,0,0,0,2000,1,1,2,,,,,2,
"0022-001",2,2,"4002200111",11,,1,,1,1,,,1,1,,,1,1,,,,8,1,6,1,8,1,,,,13,1,1,,30,1,2,,,0,0,3000,1800,0,1200,0,0,3000,0,0,9000,1,1,2,,,,,2,
"0022-001",2,2,"4002200112",12,,2,2,2,,,,2,,,,1,1,,,,4,1,6,2,,2,7,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-001",2,2,"4002200113",13,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0022-001",2,2,"4002200114",14,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0022-003",2,4,"006803",2,,1,,1,1,,,1,1,,,1,1,,,,10,1,6,2,,1,,,,22,1,1,,30,1,2,,,12000,0,2000,2500,0,0,0,0,0,0,0,16500,1,1,,,,,,2,
"0022-003",2,4,"4002200301",1,,1,,1,1,,,1,1,,,1,1,,,,10,3,6,2,,2,2,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-003",2,4,"4002200303",3,,2,1,2,,,,2,,,,1,1,,,,1,1,6,2,,1,,,,11,1,1,,30,1,2,,,0,0,500,2000,0,0,0,0,0,0,0,2500,1,1,,,,,,2,
"0022-003",2,4,"4002200304",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0022-005",2,2,"006805",2,,1,,1,4,4,,1,4,4,,1,1,,,,6,1,6,2,,2,2,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-005",2,2,"4002200501",1,,1,,1,1,,,1,1,,,1,1,,,,8,1,6,2,,2,2,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-005",2,2,"4002200503",3,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,7,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-005",2,2,"4002200504",4,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0022-006",2,2,"006806",2,,1,,2,,,,2,,,,1,1,,,,4,1,6,2,,2,2,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-006",2,2,"4002200601",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,6,2,,2,9,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0022-006",2,2,"4002200603",3,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0023-001",2,2,"007001",1,,1,,1,1,,,1,1,,,1,1,,,,7,1,7,2,,2,2,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0023-001",2,2,"007002",2,,2,1,2,,,,2,,,,1,1,,,,2,1,7,2,,2,5,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"0023-001",2,2,"007003",3,,1,,1,1,,,1,1,,,1,1,,,,8,1,6,1,7,1,,,,13,1,1,,30,1,1,1,,0,0,2500,0,0,1000,0,0,4000,0,0,7500,1,1,2,,,,,2,
"0023-001",2,2,"007004",4,,2,1,1,1,,,1,1,,,1,1,,,,7,1,6,1,6,1,,,,13,1,1,,30,1,2,,,0,0,2000,0,0,1000,0,0,1500,1000,0,5500,1,1,2,,,,,2,
"0023-001",2,2,"007005",5,,2,1,1,1,,,1,1,,,1,1,,,,4,1,6,1,3,1,,,,13,1,1,,30,1,2,,,0,0,500,0,0,1000,0,0,500,0,0,2000,1,1,2,,,,,2,
"0023-001",2,2,"3002000107",6,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0023-001",2,2,"4002300107",7,,2,1,2,,,,1,1,,,1,1,,,,2,1,6,1,2,1,,,,13,1,1,,1,1,2,,,0,0,500,0,0,1000,0,0,500,500,0,2500,1,1,2,,,,,2,
