"y4_hhid","y3_hhid","HHID","case_id","ea_id","panelweight_2019","panelweight_2016","panelweight_2013","hh_wgt","region","district","ta_code","reside","dist_to_IHPS2016location","dist_to_IHPSlocation","dist_to_IHS3location","hhsize","interview_status","qx_type","consent","hh_a11","hh_a22","hh_a23","hh_a31","hh_a37","hh_a40","interviewdate_v1","interviewdate_v2","hh_g09","hh_m00","hh_o0a","hh_s01","hh_w01","consumption_date"
"0009-001","0009-001",15,"101012150045","10101215",657.897438924967,2993.85567784686,2993.85567784686,2993.85567784686,100,101,10101,2,0,0,0,3,1,1,1,2,14,70,1,70,14,"2019-05-23","2019-08-26",2,1,1,1,2,"2019-05-23"
"0009-002","0009-001",15,"101012150045","10101215",351.73622852022,2993.85567784686,2993.85567784686,2993.85567784686,100,101,10101,2,0,0,0,3,1,1,1,2,14,70,1,70,14,"2019-05-23","2019-08-26",2,1,2,1,2,"2019-05-23"
"0010-001","0010-001",17,"101012150004","10101215",996.113572712171,1495.19662919389,1495.19662919389,2990.39325838778,100,101,10101,2,0,0,0,9,1,1,1,1,14,70,1,70,14,"2019-05-25","2019-08-26",2,1,1,1,2,"2019-05-25"
"0011-001","0011-001",19,"101012150059","10101215",2018.34834083553,1494.00645929655,1494.00645929655,2988.0129185931,100,101,10101,2,0,0,0,3,1,1,1,1,14,64,1,64,14,"2019-05-23","2019-08-26",1,1,2,2,2,"2019-05-23"
"0012-001","0012-001",21,"101012150001","10101215",1752.92355624626,2756.22153716325,2756.22153716325,2756.22153716325,100,101,10101,2,0,0,0,1,1,1,1,1,14,64,1,64,14,"2019-05-26","2019-08-26",2,1,1,2,2,"2019-05-26"
"0013-001","0013-001",23,"101012150053","10101215",1191.60128693213,2782.10286202414,2782.10286202414,2782.10286202414,100,101,10101,2,0,0,0,2,1,1,1,1,14,64,1,64,14,"2019-05-23","2019-08-26",1,1,1,2,2,"2019-05-23"
"0013-004","0013-001",23,"101012150053","10101215",309.564143853798,2782.10286202414,2782.10286202414,2782.10286202414,100,101,10101,2,19,19,19,3,1,1,1,1,14,64,1,64,14,"2019-05-27","2019-08-27",2,1,2,1,2,"2019-05-27"
"0014-001","0014-001",25,"101012150034","10101215",1771.19073760889,3023.14716985647,1511.57358492824,3023.14716985647,100,102,10220,1,25,91,91,5,1,1,1,1,14,64,1,64,14,"2019-06-21","2019-09-15",1,1,2,2,2,"2019-06-21"
"0014-002","0014-001",25,"101012150034","10101215",497.730571362852,3023.14716985647,1511.57358492824,3023.14716985647,100,101,10101,2,54,30,30,2,1,1,1,1,14,64,1,64,14,"2019-06-29","2019-08-27",1,1,2,1,2,"2019-06-29"
"0015-001","0015-001",27,"101012150049","10101215",1983.82928715167,742.088622234578,,2968.35448893831,100,101,10101,2,0,6,6,6,1,1,1,1,14,58,1,58,14,"2019-05-25","2019-08-27",2,1,1,1,2,"2019-05-25"
"0017-001","0016-001",29,"101012150048","10101215",1901.24006539463,1461.56511605072,2923.13023210144,2923.13023210144,100,101,10101,2,0,0,0,6,1,1,1,1,14,58,1,58,14,"2019-05-23","2019-08-27",2,1,2,2,2,"2019-05-23"
"0018-001","0017-001",31,"101012150040","10101215",972.394180642413,2983.9200090723,1491.96000453615,2983.9200090723,100,101,10101,2,0,0,0,7,1,1,1,1,14,58,1,58,14,"2019-05-24","2019-08-26",2,1,1,1,2,"2019-05-24"
"0019-001","0018-001",66,"101034140009","10103414",363.283195179907,804.992719704406,,3219.97087881762,100,101,10103,2,0,0,0,4,2,2,1,2,14,58,1,58,14,"2019-06-06","2019-08-30",2,1,1,2,2,"2019-08-30"
"0020-002","0018-002",66,"101034140009","10103414",742.075890541927,402.496359852203,,3219.97087881762,100,101,10103,2,0,0,0,4,2,2,1,1,14,30,1,30,14,"2019-06-06","2019-09-02",2,1,2,2,2,"2019-09-02"
"0021-003","0018-003",66,"101034140009","10103414",738.924366782811,402.496359852203,1609.98543940881,3219.97087881762,100,101,10103,2,0,0,0,3,2,2,1,2,14,58,1,58,14,"2019-06-07","2019-09-02",2,1,2,1,2,"2019-09-02"
"0022-001","0019-001",68,"101034140114","10103414",504.212884320541,1563.22777259626,3126.45554519251,3126.45554519251,100,101,10103,2,0,0,0,10,2,2,1,4,14,58,1,58,14,"2019-06-06","2019-09-03",2,1,1,1,2,"2019-09-03"
"0022-003","0019-001",68,"101034140114","10103414",607.365440427674,1563.22777259626,3126.45554519251,3126.45554519251,100,102,10204,2,99,99,99,4,4,2,1,1,,,1,58,14,,"2019-10-11",2,1,2,1,2,"2019-10-11"
"0022-005","0019-001",68,"101034140114","10103414",4926.27035821507,1563.22777259626,3126.45554519251,3126.45554519251,100,104,10401,2,120,120,120,4,2,2,1,4,4,28,1,28,4,"2019-07-13","2019-09-29",1,1,2,1,2,"2019-09-29"
"0022-006","0019-001",68,"101034140114","10103414",168.588102859996,1563.22777259626,3126.45554519251,3126.45554519251,100,101,10103,2,9,9,8,3,2,2,1,1,14,58,1,58,14,"2019-06-07","2019-09-02",2,1,2,2,2,"2019-09-02"
"0023-001","0020-001",70,"101034140064","10103414",1056.12168632353,1638.83837519533,1638.83837519533,3277.67675039066,100,101,10103,2,0,0,0,7,2,2,1,1,14,58,1,58,14,"2019-06-06","2019-08-30",2,1,2,2,2,"2019-08-30"
"0024-001","0021-001",72,"101034140025","10103414",2334.41288760974,1711.31076322635,1711.31076322635,3422.6215264527,100,101,10103,2,0,0,0,4,2,2,1,1,14,58,1,58,14,"2019-06-06","2019-08-30",2,1,2,2,2,"2019-08-30"
"0025-001","0022-001",74,"101034140091","10103414",1792.43253015502,3252.45959822709,1626.22979911355,3252.45959822709,100,101,10102,2,0,22,21,7,2,2,1,1,14,64,1,64,14,"2019-07-26","2019-10-24",1,1,1,2,2,"2019-10-24"
"0025-008","0022-001",74,"101034140091","10103414",186.272400192581,3252.45959822709,1626.22979911355,3252.45959822709,100,101,10101,2,20,30,30,4,2,2,1,1,14,64,1,64,14,"2019-07-26","2019-08-31",1,1,2,2,2,"2019-08-31"
"0026-001","0023-001",76,"101034140069","10103414",1197.3047525601,2830.57532265368,,3234.94322588992,100,101,10103,2,0,0,0,5,2,2,1,1,14,64,1,64,14,"2019-06-06","2019-08-30",1,1,1,2,2,"2019-08-30"
"0026-003","0023-001",76,"101034140069","10103414",126.545491146698,2830.57532265368,,3234.94322588992,100,101,10103,2,0,0,0,3,2,2,1,1,14,64,1,64,14,"2019-06-08","2019-09-03",1,1,2,1,2,"2019-09-03"
"0026-005","0023-001",76,"101034140069","10103414",309.842975767924,2830.57532265368,,3234.94322588992,100,105,10506,2,222,222,222,3,2,2,1,4,15,53,1,81,15,"2019-07-24","2019-11-01",2,1,2,1,2,"2019-11-01"
"0027-008","0023-008",76,"101034140069","10103414",517.194257638079,202.18395161812,3234.94322588992,3234.94322588992,100,101,10103,2,0,0,0,3,4,2,1,1,,,1,64,14,,"2019-09-02",1,1,2,2,2,"2019-09-02"
"0028-001","0024-001",78,"101034140075","10103414",1025.19489956954,2123.29688081185,,3184.94532121777,100,101,10103,2,0,0,0,2,2,2,1,1,14,64,1,64,14,"2019-06-06","2019-09-03",1,1,1,2,2,"2019-09-03"
"0029-003","0024-003",78,"101034140075","10103414",1513.98421157316,530.824220202962,3184.94532121777,3184.94532121777,100,105,10506,2,0,219,218,6,2,2,1,1,15,21,1,21,15,"2019-07-22","2019-10-18",2,1,2,1,2,"2019-10-18"
"0030-001","0025-001",80,"101034140042","10103414",1129.6989906257,1289.2427853075,,3223.10696326876,100,101,10103,2,0,0,0,2,2,2,1,1,14,64,1,64,14,"2019-06-07","2019-09-02",1,1,1,2,2,"2019-09-02"
"0032-004","0025-004",80,"101034140042","10103414",572.750874767328,322.310696326876,1611.55348163438,3223.10696326876,100,101,10103,2,0,0,0,4,2,2,1,1,14,70,1,70,14,"2019-06-06","2019-09-02",1,1,2,2,2,"2019-09-02"
"0033-001","0026-001",82,"101034140108","10103414",1043.60065598419,1564.82203290703,3129.64406581406,3129.64406581406,100,101,10103,2,0,0,0,10,2,2,1,1,14,70,1,70,14,"2019-06-06","2019-09-03",2,1,2,1,2,"2019-09-03"
"0034-001","0027-001",84,"101034140053","10103414",1796.5852482713,3331.75580991825,1665.87790495913,3331.75580991825,100,101,10103,2,0,0,0,7,2,2,1,1,14,70,1,70,14,"2019-06-07","2019-08-30",2,1,1,2,2,"2019-08-30"
"0034-004","0027-001",84,"101034140053","10103414",1263.95994341053,3331.75580991825,1665.87790495913,3331.75580991825,100,102,10203,2,70,70,69,1,2,2,1,1,14,70,2,70,14,"2019-06-24","2019-10-14",1,1,2,2,2,"2019-10-14"
"0035-002","0028-002",86,"101034140003","10103414",1043.94732276858,1600.09044399623,1600.09044399623,3200.18088799245,100,101,10103,2,0,0,0,8,2,2,1,1,14,70,1,70,14,"2019-06-06","2019-09-02",1,1,2,2,2,"2019-09-02"
"0036-001","0029-001",88,"101034140097","10103414",915.805509299617,2172.21655519902,,3258.32483279853,100,102,10220,1,55,55,55,2,2,2,1,1,14,70,1,70,14,"2019-06-21","2019-10-14",2,1,1,2,2,"2019-10-14"
"0036-002","0029-001",88,"101034140097","10103414",284.877652025027,2172.21655519902,,3258.32483279853,100,101,10103,2,0,0,0,3,2,2,1,1,14,70,1,70,14,"2019-06-07","2019-08-30",1,1,2,2,2,"2019-08-30"
"0037-004","0029-004",88,"101034140097","10103414",520.807120039434,543.054138799755,3258.32483279853,3258.32483279853,100,101,10103,2,0,0,0,6,2,2,1,1,14,64,1,64,14,"2019-06-07","2019-08-30",1,1,2,2,2,"2019-08-30"
"0038-001","0030-001",90,"101034140031","10103414",2116.60655106884,3227.41401510258,3227.41401510258,3227.41401510258,100,101,10103,2,0,0,0,9,2,2,1,1,14,30,1,30,14,"2019-06-06","2019-09-03",1,1,1,2,2,"2019-09-03"
"0039-001","0031-001",92,"101034140047","10103414",1548.05642357786,1626.5756905845,1626.5756905845,3253.151381169,100,101,10103,2,0,0,0,8,2,2,1,2,14,30,1,30,14,"2019-06-07","2019-08-30",2,1,1,2,2,"2019-08-30"
"0039-004","0031-001",92,"101034140047","10103414",153.831000328251,1626.5756905845,1626.5756905845,3253.151381169,100,101,10103,2,0,0,0,2,2,2,1,1,14,30,1,30,14,"2019-06-07","2019-10-23",2,1,2,2,2,"2019-10-23"
"0039-005","0031-001",92,"101034140047","10103414",371.667070660857,1626.5756905845,1626.5756905845,3253.151381169,100,105,10506,2,266,266,265,2,2,2,1,1,15,53,1,21,15,"2019-07-20","2019-10-28",2,1,2,2,2,"2019-10-28"
"0040-001","0032-001",94,"101034140086","10103414",2312.15785279186,1724.31489893576,1724.31489893576,3448.62979787151,100,101,10103,2,0,0,0,5,2,2,1,1,14,30,1,30,14,"2019-06-08","2019-08-30",2,1,2,2,2,"2019-08-30"
"0041-001","0033-001",96,"101034140020","10103414",1104.07378776413,3296.99638000892,1648.49819000446,3296.99638000892,100,101,10103,2,0,0,0,7,2,2,1,1,14,30,1,30,14,"2019-06-06","2019-09-02",2,1,2,2,2,"2019-09-02"
"0042-001","0034-001",226,"102201030088","10220103",5321.48637476182,2261.14615031785,1130.57307515892,2261.14615031785,100,102,10220,2,0,0,0,4,2,2,1,1,14,64,1,64,14,"2019-06-20","2019-09-13",1,1,1,2,2,"2019-09-13"
"0043-001","0035-001",228,"102201030058","10220103",2800.81784991951,2314.55861611877,2314.55861611877,2314.55861611877,100,102,10220,2,0,0,0,5,2,2,1,1,14,64,1,64,14,"2019-06-20","2019-09-16",1,1,1,2,1,"2019-09-16"
"0044-001","0036-001",230,"102201030028","10220103",5238.899867705,2285.06964896068,2285.06964896068,2285.06964896068,100,102,10220,1,0,0,0,1,2,2,1,1,14,64,1,64,14,"2019-06-18","2019-09-13",2,1,2,2,2,"2019-09-13"
"0045-001","0037-001",232,"102201030035","10220103",1981.27675795177,691.344442552991,,2304.48147517664,100,102,10220,2,0,0,0,3,2,2,1,1,14,64,1,64,14,"2019-06-19","2019-09-16",2,1,1,2,2,"2019-09-16"
"0045-003","0037-001",232,"102201030035","10220103",341.502119248097,691.344442552991,,2304.48147517664,100,102,10220,2,0,0,0,3,2,2,1,1,14,64,1,64,14,"2019-06-19","2019-09-12",1,1,2,2,2,"2019-09-12"
"0046-002","0037-002",232,"102201030035","10220103",6441.11818995167,921.792590070654,921.792590070654,2304.48147517664,100,104,10404,2,77,72,73,4,2,2,1,1,14,58,1,58,14,"2019-06-26","2019-10-15",2,1,1,2,2,"2019-10-15"
"0047-001","0038-001",232,"102201030035","10220103",1566.91642460401,1152.24073758832,230.448147517664,2304.48147517664,100,102,10220,1,0,0,0,4,2,2,1,2,14,64,1,64,14,"2019-06-18","2019-09-12",1,1,2,2,2,"2019-09-12"
"0048-001","0039-001",234,"102201030050","10220103",5104.88093025427,1097.20551693385,2194.4110338677,2194.4110338677,100,102,10220,1,0,0,0,5,2,2,1,1,14,64,1,64,14,"2019-06-18","2019-09-12",2,1,1,2,2,"2019-09-12"
"0049-001","0040-001",236,"102201030155","10220103",3344.03707078143,2140.76947911797,,2408.36566400771,100,102,10205,2,0,0,48,9,2,2,1,1,14,64,1,64,14,"2019-06-24","2019-09-20",2,1,1,2,2,"2019-09-20"
"0049-004","0040-001",236,"102201030155","10220103",291.433256168611,2140.76947911797,,2408.36566400771,100,102,10201,2,64,64,17,3,2,2,1,1,14,64,1,64,14,"2019-07-21","2019-09-17",1,1,2,2,2,"2019-09-17"
"0049-005","0040-001",236,"102201030155","10220103",281.01398097436,2140.76947911797,,2408.36566400771,100,102,10205,2,0,0,48,4,2,2,1,1,14,64,1,64,14,"2019-06-24","2019-09-20",1,1,2,1,2,"2019-09-20"
"0050-006","0040-006",236,"102201030155","10220103",584.29539890138,133.798092444873,1204.18283200386,2408.36566400771,100,102,10206,2,0,0,45,5,2,2,1,2,14,58,1,58,14,"2019-06-24","2019-09-20",2,1,2,2,2,"2019-09-20"
"0051-004","0041-004",238,"102201030140","10220103",2701.86596197893,1139.52441779492,2279.04883558985,2279.04883558985,100,102,10220,1,0,0,0,5,2,2,1,2,14,58,1,58,14,"2019-06-19","2019-09-17",2,1,1,2,2,"2019-09-17"
"0052-001","0042-001",240,"102201030133","10220103",5554.26615760647,1146.24156273769,2292.48312547539,2292.48312547539,100,102,10220,1,0,0,0,6,2,2,1,2,14,58,1,58,14,"2019-06-19","2019-09-12",2,1,2,2,2,"2019-09-12"
"0053-001","0043-001",242,"102201030021","10220103",2166.34815301589,1796.09813975093,,2245.12267468866,100,102,10220,1,0,0,0,7,2,2,1,1,14,58,1,58,14,"2019-06-18","2019-09-16",2,1,1,2,2,"2019-09-16"
"0054-003","0043-002",242,"102201030021","10220103",598.13508833779,224.512267468866,1122.56133734433,2245.12267468866,100,102,10220,1,0,0,0,4,2,2,1,2,14,58,1,58,14,"2019-06-18","2019-09-12",2,1,2,2,2,"2019-09-12"
"0055-001","0044-001",244,"102201030095","10220103",3086.73815364949,1099.93936068932,916.616133907765,2199.87872137864,100,102,10220,1,0,0,0,7,2,2,1,2,14,58,1,58,14,"2019-06-18","2019-09-13",2,1,1,2,2,"2019-09-13"
"0055-004","0044-001",244,"102201030095","10220103",272.443685622523,1099.93936068932,916.616133907765,2199.87872137864,100,102,10220,1,0,0,0,3,2,2,1,1,14,58,1,58,14,"2019-06-18","2019-09-13",2,1,2,2,2,"2019-09-13"
"0055-010","0044-001",244,"102201030095","10220103",266.786385046755,1099.93936068932,916.616133907765,2199.87872137864,100,102,10203,2,26,26,26,3,2,2,1,1,14,58,1,58,14,"2019-06-24","2019-09-18",1,1,2,2,2,"2019-09-18"
"0056-001","0045-001",244,"102201030095","10220103",619.691344971292,1099.93936068932,183.323226781553,2199.87872137864,100,102,10220,1,0,0,0,1,2,2,1,1,14,58,1,58,14,"2019-06-28","2019-09-16",1,1,2,2,2,"2019-09-16"
"0056-002","0045-001",244,"102201030095","10220103",629.004625300341,1099.93936068932,183.323226781553,2199.87872137864,100,102,10120,1,77,76,78,3,2,2,1,3,14,58,1,58,14,"2019-06-22","2019-09-12",2,1,2,2,2,"2019-09-12"
"0057-001","0046-001",246,"102201030073","10220103",2615.19540080102,2184.73044342139,1092.36522171069,2184.73044342139,100,102,10220,2,0,0,0,6,2,2,1,1,14,70,1,70,14,"2019-06-20","2019-09-13",1,1,2,2,2,"2019-09-13"
"0058-001","0047-001",248,"102201030110","10220103",3763.14445647741,1162.36449552348,2324.72899104696,2324.72899104696,100,102,10220,1,0,0,0,7,2,2,1,1,14,70,1,70,14,"2019-06-19","2019-09-16",2,1,1,2,2,"2019-09-16"
"0058-003","0047-001",248,"102201030110","10220103",347.005047742166,1162.36449552348,2324.72899104696,2324.72899104696,100,102,10220,1,0,0,0,2,2,2,1,1,14,70,1,70,14,"2019-06-20","2019-09-16",1,1,2,2,2,"2019-09-16"
"0058-004","0047-001",248,"102201030110","10220103",356.05735333544,1162.36449552348,2324.72899104696,2324.72899104696,100,102,10220,1,0,0,0,3,2,2,1,1,14,70,1,70,14,"2019-06-20","2019-09-16",2,1,2,2,2,"2019-09-17"
"0058-005","0047-001",248,"102201030110","10220103",349.544109067109,1162.36449552348,2324.72899104696,2324.72899104696,100,102,10220,1,0,0,0,3,2,2,1,1,14,70,1,70,14,"2019-06-19","2019-09-16",1,1,2,2,2,"2019-09-16"
"0059-001","0048-001",250,"102201030103","10220103",2668.56159027254,2272.60010166048,2272.60010166048,2272.60010166048,100,102,10220,1,0,0,0,7,2,2,1,1,14,70,1,70,14,"2019-06-18","2019-09-12",2,1,2,2,2,"2019-09-12"
"0061-003","0049-002",252,"102201030013","10220103",203.813459590719,366.157918128927,,2196.94750877356,100,102,10220,1,0,0,0,3,2,2,1,1,14,70,1,70,14,"2019-06-19","2019-09-17",1,1,2,2,2,"2019-09-17"
"0062-003","0049-003",252,"102201030013","10220103",748.066757809292,366.157918128927,1318.16850526414,2196.94750877356,100,102,10220,1,0,0,0,8,2,2,1,1,14,70,1,70,14,"2019-06-18","2019-09-13",1,1,2,2,2,"2019-09-13"
"0063-004","0050-001",252,"102201030013","10220103",580.861747695589,439.389501754713,,2196.94750877356,100,102,10201,2,0,0,16,4,4,2,1,1,,,1,70,14,,"2019-10-04",2,1,1,2,2,"2019-10-04"
"0064-002","0050-002",252,"102201030013","10220103",939.350805769356,659.084252632069,439.389501754713,2196.94750877356,100,102,10201,2,0,0,14,9,2,2,1,1,14,30,1,30,14,"2019-06-20","2019-10-04",2,1,2,2,2,"2019-10-04"
"0064-006","0050-002",252,"102201030013","10220103",196.70615977477,659.084252632069,439.389501754713,2196.94750877356,100,102,10204,2,76,78,62,3,2,2,1,1,14,30,1,30,14,"2019-07-22","2019-10-15",2,1,2,2,2,"2019-10-15"
"0065-001","0051-001",254,"102201030125","10220103",1462.85433470583,1947.6088003557,,2337.13056042684,100,102,10220,1,0,0,0,4,2,2,1,1,14,30,1,30,14,"2019-06-18","2019-09-12",2,1,1,2,2,"2019-09-12"
"0065-005","0051-001",254,"102201030125","10220103",255.986272468428,1947.6088003557,,2337.13056042684,100,102,10220,1,0,0,0,3,2,2,1,1,14,30,1,30,14,"2019-06-18","2019-09-13",2,1,2,2,2,"2019-09-13"
"0065-006","0051-001",254,"102201030125","10220103",258.229306619301,1947.6088003557,,2337.13056042684,100,102,10220,1,0,0,0,4,2,2,1,1,14,30,1,30,14,"2019-06-18","2019-09-13",2,1,2,2,2,"2019-09-13"
"0066-004","0051-004",254,"102201030125","10220103",537.623148388854,194.76088003557,1669.37897173346,2337.13056042684,100,102,10220,1,0,0,0,3,2,2,1,1,14,30,1,30,14,"2019-06-18","2019-09-12",2,1,2,2,2,"2019-09-12"
"0067-001","0052-001",254,"102201030125","10220103",563.334585981947,1168.56528021342,166.937897173346,2337.13056042684,100,102,10220,1,0,0,0,4,2,2,1,1,14,30,1,30,14,"2019-06-18","2019-09-12",2,1,2,2,2,"2019-09-12"
"0068-001","0053-001",254,"102201030125","10220103",538.562639503498,1168.56528021342,166.937897173346,2337.13056042684,100,102,10220,1,0,0,0,4,2,2,1,1,14,30,1,30,14,"2019-06-18","2019-09-16",1,1,2,2,2,"2019-09-16"
"0069-001","0054-001",256,"102201030065","10220103",921.925460183305,927.201201788463,,2318.00300447116,100,102,10220,2,0,0,0,2,2,2,1,1,14,30,1,30,14,"2019-06-19","2019-09-18",1,1,1,2,2,"2019-09-18"
"0070-004","0054-004",256,"102201030065","10220103",1018.57097543178,231.800300447116,965.834585196316,2318.00300447116,100,102,10220,1,0,0,0,4,2,2,1,1,14,30,1,30,14,"2019-06-21","2019-09-16",2,1,2,2,2,"2019-09-16"
"0071-001","0055-001",256,"102201030065","10220103",1339.6359584118,1159.00150223558,193.166917039263,2318.00300447116,100,102,10220,1,0,0,0,10,2,2,1,1,14,30,1,30,14,"2019-06-19","2019-09-17",2,1,1,2,2,"2019-09-17"
"0071-003","0055-001",256,"102201030065","10220103",236.288554697447,1159.00150223558,193.166917039263,2318.00300447116,100,102,10203,2,22,22,20,4,2,2,1,1,14,30,1,30,14,"2019-06-24","2019-09-17",2,1,2,2,2,"2019-09-17"
"0071-006","0055-001",256,"102201030065","10220103",220.700932764526,1159.00150223558,193.166917039263,2318.00300447116,100,102,10220,1,0,0,0,3,2,2,1,1,14,30,1,30,14,"2019-06-21","2019-09-19",1,1,2,2,2,"2019-09-19"
"0072-001","0056-001",257,"103020100076","10302010",889.454879881057,2667.50415443207,2667.50415443207,2667.50415443207,100,103,10302,2,0,0,0,3,1,1,1,2,4,28,1,28,4,"2019-07-24","2019-10-18",2,1,1,2,2,"2019-07-24"
"0073-002","0057-001",259,"103020100107","10302010",1747.87098098263,1333.02640116863,2666.05280233726,2666.05280233726,100,103,10302,2,0,0,0,2,1,1,1,1,4,28,1,28,4,"2019-07-25","2019-10-18",2,1,1,2,1,"2019-07-25"
"0074-001","0058-001",261,"103020100056","10302010",543.579134331914,1914.18385904692,,2871.27578857038,100,103,10302,2,0,0,0,6,1,1,1,1,4,59,1,59,4,"2019-07-28","2019-10-18",1,1,2,2,2,"2019-07-28"
"0075-004","0058-004",261,"103020100056","10302010",463.73386713101,478.54596476173,1435.63789428519,2871.27578857038,100,103,10302,2,0,0,0,13,1,1,1,1,4,42,1,42,4,"2019-07-28","2019-10-18",2,1,2,2,2,"2019-07-28"
"0076-001","0059-001",263,"103020100028","10302010",1119.40128208604,1447.5327768994,2895.0655537988,2895.0655537988,100,103,10302,2,0,0,0,5,1,1,1,1,4,28,1,28,4,"2019-07-25","2019-10-18",1,1,1,2,1,"2019-07-26"
"0077-002","0060-002",265,"103020100019","10302010",414.583174239632,483.004475631575,,2898.02685378945,100,103,10302,2,0,0,0,6,1,1,1,1,4,59,1,59,4,"2019-07-26","2019-10-19",2,1,2,2,2,"2019-07-26"
"0078-003","0060-003",265,"103020100019","10302010",581.093953861308,966.00895126315,2898.02685378945,2898.02685378945,100,103,10305,2,25,25,25,9,1,1,1,3,4,42,1,42,4,"2019-07-29","2019-10-17",2,1,2,2,1,"2019-07-29"
"0079-001","0061-001",267,"103020100089","10302010",1803.60201513095,2733.61156759608,1366.80578379804,2733.61156759608,100,103,10302,2,0,0,5,5,1,1,1,2,4,25,1,25,4,"2019-07-29","2019-10-17",2,1,1,2,2,"2019-07-29"
"0080-002","0062-002",269,"103020100037","10302010",1230.07635432448,1399.75231709852,1399.75231709852,2799.50463419704,100,103,10302,2,0,0,0,5,1,1,1,1,4,42,1,42,4,"2019-07-26","2019-10-18",2,1,2,2,2,"2019-07-28"
"0080-009","0062-002",269,"103020100037","10302010",317.99501357674,1399.75231709852,1399.75231709852,2799.50463419704,100,103,10304,2,20,20,20,3,3,1,1,1,,,1,42,4,,"2019-08-15",2,1,1,2,1,"2019-08-15"
"0081-002","0063-001",271,"103020100105","10302010",1939.58147961643,1401.05208459878,1401.05208459878,2802.10416919756,100,103,10302,2,0,0,0,7,1,1,1,1,4,59,1,59,4,"2019-07-24","2019-10-18",1,1,2,2,1,"2019-07-24"
"0082-002","0064-002",273,"103020100009","10302010",657.383022396426,1408.6779051352,1408.6779051352,2817.3558102704,100,103,10302,2,0,0,0,6,1,1,1,1,4,59,1,59,4,"2019-07-25","2019-10-19",2,1,2,2,1,"2019-07-25"
"0082-003","0064-002",273,"103020100009","10302010",328.691511198213,1408.6779051352,1408.6779051352,2817.3558102704,100,103,10302,2,0,0,0,5,1,1,1,1,4,59,1,59,4,"2019-07-28","2019-10-18",2,1,2,1,2,"2019-07-28"
